"","Janus.Tissue.ID","Neutron","Gamma","Total.dose","X..Fractions","Gender","JM.exp.series","DISEASE","Janus.Tissue.ID.1","HTG.Sample.label","Array","Element","let.7b","miR.143","miR.145","miR.16","miR.17","miR.214","miR.23a","miR.24","miR.27a","miR.34a","miR.574.5p","miR.720","miR.1195","miR.466f.3p","miR.467b","miR.503","miR.669i","miR.690","miR.701","miR.703","miR.706","miR.709","miR.712","miR.714","miR.872","miR.881","miR.92a","miR.155","miR.15a","miR.21","miR.19a","miR.20a","GUSB","GAPDH","miR.699","miR.685","miR.923","miR.1826","miR.1308","Quality","ElementCol","ElementRow","dose_rate","age","first_irrad"
"57","B1644","control","control",0,0,"F",3,"FALSE","B 1644","2-B1644","72612A","B1",337,NA,NA,NA,155,NA,NA,NA,NA,NA,18535,848,1381,1322,NA,NA,120,302,NA,NA,NA,1630,541,4668,391,NA,1194,86,116,82,NA,142,NA,NA,123,635,25298,13088,4315,"control","1","B",0,739,115
"58","B1661","","G",545.7,1,"F",3,"FALSE"," B 1661","12-B 1661","100711","D2",2271,NA,NA,NA,449,353,225,9815,132,NA,27694,26608,889,1161,NA,NA,NA,846,84,NA,162,3590,575,3704,87,NA,843,59,NA,NA,158,66,169,634,157,745,31812,10684,26188,"G","2","D",27.285,842,109
"59","B1661","","G",545.7,1,"F",3,"FALSE","B 1661","12-B1661","72612B","D2",165,NA,NA,NA,104,NA,NA,NA,NA,NA,21034,983,917,871,NA,NA,341,194,NA,NA,128,1829,387,4391,179,NA,1244,NA,NA,NA,120,NA,NA,NA,79,344,33277,9303,23378,"G","2","D",27.285,842,109
"60","B1661","","G",545.7,1,"F",3,"FALSE","B 1661","12-B1661","72612A","D2",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,9171,693,1211,1468,NA,NA,152,693,138,NA,NA,899,245,4900,380,91,808,NA,NA,NA,88,NA,NA,NA,575,169,24923,3239,9449,"G","2","D",27.285,842,109
"61","B17","","G",545.7,1,"F",3,"FALSE"," B 17","37-B17","102011","E5",6473,2704,2364,6956,1419,954,1852,3799,1394,NA,31993,29506,22164,1340,NA,NA,397,25850,NA,NA,4030,32068,13659,15753,NA,NA,3918,NA,1372,350,198,NA,96,330,4345,13626,26331,31424,31788,"G","5","E",27.285,365,103
"62","B1725","control","control",0,0,"F",3,"TRUE"," B 1725","32-B1725","102011","H4",255,NA,NA,NA,NA,68,NA,898,NA,NA,3301,20979,136,184,NA,NA,NA,361,NA,NA,NA,1039,596,1300,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,231,16124,13820,8389,"control","4","H",0,780,115
"63","B1725","control","control",0,0,"F",3,"TRUE"," B 1725","","4022012","H4",1401,NA,NA,116,288,777,295,7989,389,NA,22500,24964,1067,1296,NA,NA,403,1451,NA,NA,NA,5924,3352,8220,225,NA,1012,104,94,149,1094,NA,169,354,419,3334,27574,27600,29019,"control","4","H",0,780,115
"64","B1757","N","",18.84,1,"F",3,"TRUE"," B 1757","42-B1757","102011","B6",663,NA,NA,71,65,136,75,3524,67,NA,17370,33713,479,201,NA,NA,56,734,NA,NA,NA,3121,1327,2817,NA,NA,344,NA,NA,NA,NA,NA,89,83,329,733,32103,34265,22897,"N","6","B",0.942,792,115
"65","B1757","N","",18.84,1,"F",3,"TRUE"," B 1757","","4022012","B6",2032,154,147,1667,311,665,395,10008,312,106,32120,34256,1233,1602,NA,NA,141,3314,NA,NA,NA,8471,4223,10939,NA,NA,1558,77,90,165,NA,NA,404,293,975,2294,31672,31633,28793,"N","6","B",0.942,792,115
"66","B1787","","G",545.7,1,"F",3,"FALSE"," B 1787","3-B1787","100711","C1",2907,324,593,324,1122,397,294,9193,433,275,29622,28394,982,1041,63,NA,NA,2024,NA,NA,358,11680,3999,8367,NA,NA,1675,84,92,86,141,NA,292,878,573,2273,29363,27162,28643,"G","1","C",27.285,899,109
